Elevator,Maids Room,Built in Kitchen Appliances,Pets Allowed,Natural Gas,Pool,Private Garden,Covered Parking,Electricity Meter,Balcony,Central A/C & heating,Water Meter,Landline,Security,Amenities_ID
1,0,1,0,1,1,0,1,1,1,0,1,1,1,273
1,0,0,1,0,0,0,0,0,0,0,1,0,1,274
0,0,0,1,1,0,1,1,1,1,0,1,1,0,275
1,0,0,1,0,0,0,1,0,1,0,0,0,1,276
0,0,0,0,1,0,0,1,1,0,0,1,1,1,277
1,0,0,0,0,0,0,1,1,1,1,1,0,1,278
0,1,0,1,0,0,0,1,0,1,0,1,0,1,279
1,0,1,0,1,0,1,1,1,1,0,1,1,1,280
0,0,0,0,1,0,1,1,1,1,0,0,0,1,281
0,0,0,0,0,1,0,0,0,1,0,0,0,0,282
0,0,0,1,1,1,0,1,1,0,0,1,1,0,283
1,1,0,0,1,1,1,1,1,1,1,1,1,1,284
1,0,0,0,0,0,0,0,1,1,0,1,1,0,285
1,0,0,1,1,0,0,1,1,1,0,1,1,0,286
1,0,0,0,0,0,0,0,0,0,0,0,0,0,287
0,0,0,1,0,0,1,0,1,1,0,0,0,1,288
0,0,0,0,1,1,1,0,1,0,0,1,1,1,289
0,1,0,1,1,0,1,0,1,1,0,1,0,1,290
0,0,0,0,0,0,0,1,0,1,0,0,0,0,291
0,0,0,0,1,1,0,0,1,1,0,1,0,1,292
0,0,0,1,0,1,1,1,0,1,0,0,0,1,293
0,0,1,0,0,0,1,1,0,1,0,0,0,0,294
0,0,1,0,0,1,1,1,0,0,0,0,0,1,295
1,0,0,0,1,0,0,0,1,1,0,0,1,1,296
0,0,0,1,1,1,0,1,1,0,0,1,1,1,297
1,0,0,0,1,1,0,1,1,1,0,1,1,1,298
0,0,1,1,1,0,0,1,1,0,0,0,0,0,299
0,0,1,0,1,1,1,1,1,1,0,0,0,1,300
1,0,1,0,1,0,0,0,1,0,0,1,1,1,301
1,0,1,1,0,1,0,0,1,1,0,1,1,1,302
1,0,0,0,1,0,0,0,1,0,0,0,0,0,303
0,0,0,0,0,1,0,1,0,0,0,0,0,1,304
0,0,0,0,1,0,1,0,1,1,0,0,0,1,305
0,0,0,1,1,1,1,1,1,0,0,1,1,0,306
0,1,1,1,0,1,1,1,1,0,0,1,0,1,307
0,1,0,1,0,0,1,1,0,1,1,0,0,1,308
0,1,0,0,0,0,0,0,0,0,0,0,0,0,309
0,0,0,1,1,1,0,1,1,1,0,1,1,0,310
0,0,0,1,1,0,0,0,1,1,0,1,0,1,311
0,0,1,0,1,1,1,1,1,0,0,0,1,1,312
